Datetime,Unix Timestamp,Text
3:45 AM - 23 Dec 2013,1387799130,From 27/12: #tram2 #tram4 #tram7 change the route for 15 days (M5 in via Farini/Ferrari) http://bit.ly/1kXWI85. #ATM
3:06 AM - 23 Dec 2013,1387796784,#bus77 > United #bus140 > Rogoredo: resume regular route after turning for roadworks. #ATM #Milano
2:24 AM - 23 Dec 2013,1387794282,@bianchettim7 Hello Marcello Please note that today both on the surface and underground there time is Saturday. Info http://bit.ly/1cFbdJs.
2:17 AM - 23 Dec 2013,1387793834,Until 6/1: #ATM service planned over Christmas new year's Eve and Epiphany in #Milano for tram bus and metro http://bit.ly/1cFbdJs.
1:22 AM - 23 Dec 2013,1387790553,@Madteo7 trains run regularly on the line. More details on #M1 and other time lines: http://bit.ly/1cFbdJs.
12:26 AM - 23 Dec 2013,1387787186,@alezzandro1986 you can check timetables on GiroMilano http://bit.ly/GiroMilano by selecting the #M2 line and you are interested in.
11:22 PM - 22 Dec 2013,1387783363,@MatCas71 a car is coming. Here's the ATM service for the next few days: http://bit.ly/1cFbdJs.
11:15 PM - 22 Dec 2013,1387782900,#tram3 #tram15: slowdowns (technical problem). #ATM #Milano
10:52 PM - 22 Dec 2013,1387781530,@st_75 Hi-line trains travel normally. At this link http://bit.ly/1cFbdJs you can find more info about the new hours.
10:34 PM - 22 Dec 2013,1387780497,@RassTigre7043 circulation on the line is normal. Saturday's schedule is in effect today, more info here: http://bit.ly/1cFbdJs.
10:14 PM - 22 Dec 2013,1387779248,#tram7 #tram12 #tram14: slowdowns (irregular parked cars). #ATM #Milano
10:13 PM - 22 Dec 2013,1387779190,#bus140 > Rogoredo: ends at the cemetery of Clairvaux (roadworks). Bus linking the Cemetery of Clairvaux and Rogoredo.
10:08 PM - 22 Dec 2013,1387778911,#bus77 > United: ends in via San Dionigi/Arialdo (roadworks). Bus between via San Dionysius Chiaravalle Cemetery and United. #ATM
10:00 PM - 22 Dec 2013,1387778447,Good start of week from @atm_informa. Even today we keep you informed with real-time updates on the status of the lines follow us.
11:01 AM - 22 Dec 2013,1387738866,#ATM wishes you good night. Infomobility tweets come back tomorrow at 7 for more detail on the surface and underground circulation in #Milano
10:07 AM - 22 Dec 2013,1387735632,#tram16: resumes the regular route after diversion (intervention of firefighters concluded). #ATM #Milano
7:19 AM - 22 Dec 2013,1387725557,#bus77: connecting bus between via San Dionysius Chiaravalle Cemetery and United (law enforcement intervention via Arialdo).
4:29 AM - 22 Dec 2013,1387715382,#M1 #M2 #M3 #M5: circulation is normal for all destinations. Tweeting updates up to 20. Good Sunday afternoon. #ATM
3:27 AM - 22 Dec 2013,1387711633,@ Fr4nc1s we apologize for the inconvenience. The irregular parked cars has been removed and the line resumed regularly.
2:46 AM - 22 Dec 2013,1387709188,#Natale #capodanno #Epifania: the Guide to services #ATM during the holidays to page: http://bit.ly/1cFbdJs 
2:19 AM - 22 Dec 2013,1387707582,#tram7: suspended between Avenue lyrics/Ca ' Granda and Avenue lyrics/fleas (irregular parked cars). Connecting bus into the journey not flown.
1:01 AM - 22 Dec 2013,1387702865,#InterMilan tonight: info about shuttles and other #ATM lines to reach the San Siro at the http://bit.ly/JJT5ac page. #SerieA #derby
12:41 AM - 22 Dec 2013,1387701680,#Natale: #M1 #M2 #M3 hours on 25 December and other information to the page http://www.atm.it/it/ViaggiaConNoi/InfoTraffico/Documents/metro.pdf ... #ATM
11:59 PM - 21 Dec 2013,1387699146,#Natale #capodanno #Epifania: timetables and information on #ATM during the holidays to the page http://bit.ly/1cFbdJs 
11:40 PM - 21 Dec 2013,1387698031,#tram12 and #tram27: resume regularly with possible delays (after turning for incident between private vehicles in vle Corsica).
10:11 PM - 21 Dec 2013,1387692719,#bus701 #bus707: today change the route until approximately 16 (market). Information at http://bit.ly/1gDAo6h. #ATM
10:07 PM - 21 Dec 2013,1387692464,#tram27: ends at piazza 5 Giornate (collision between private vehicles in vle Corsica). Connecting bus to the last stop, Hungary. #ATM
10:02 PM - 21 Dec 2013,1387692162,Hello and happy Sunday. Up to 20 tweeting live updates on the status of bus tram trolleybus and underground lines. #ATM
11:02 AM - 21 Dec 2013,1387652570,Goodbye from #ATM informs. Follow us tomorrow if you want to stay updated on the movement of public transport in #Milano.
10:30 AM - 21 Dec 2013,1387650650,22/12: #bus321 change the path in Corsico for the entire day (Christmas markets in via Verdi) http://bit.ly/1bwmpeL. #ATM
10:00 AM - 21 Dec 2013,1387648851,#Inter-#Milan: here is the #ATM service on the occasion of the derby tomorrow night in San Siro http://bit.ly/JJT5ac. #SerieA #Milano
8:58 AM - 21 Dec 2013,1387645120,#bus54 #bus61: slowdowns (heavy traffic). #ATM #Milano
7:04 AM - 21 Dec 2013,1387638247,#bus86 > Hump: resumes the regular route after turning for a collision between private vehicles. #ATM #Milano
6:10 AM - 21 Dec 2013,1387635050,#bus86 > Hump: deviates from viale Suzzani viale Fulvio Testi (collision between private vehicles). #ATM #Milano
3:58 AM - 21 Dec 2013,1387627096,#M1 #M2 #M3 #M5: at the moment the movement of trains is normal in all directions. #Milano #ATM
3:41 AM - 21 Dec 2013,1387626098,#bus60: delays (traffic in via Plinio/Duca D'Aosta). #ATM #Milano
3:40 AM - 21 Dec 2013,1387626018,22/12: #bus701 #bus707 change the path from the start of service until approximately 16 (market) http://bit.ly/1gDAo6h. #ATM
3:18 AM - 21 Dec 2013,1387624696,#bus56 #bus93: slowdowns (respectively for traffic in via Padova and Sismondi/Garth). #ATM #Milano
1:41 AM - 21 Dec 2013,1387618916,#tram33 > Rimembranze di Lambrate: resumes the regular route to the terminus with no hiccups. #ATM #Milano
1:32 AM - 21 Dec 2013,1387618340,#tram33 > Rimembranze di Lambrate: ends in via Bassini/Viotti (collision between private vehicles). #ATM #Milano
12:28 AM - 21 Dec 2013,1387614535,#tram2 #tram14: resume regular route with no hiccups after turning for a collision between private individuals. #ATM #Milano
12:13 AM - 21 Dec 2013,1387613599,#tram14 > Lorenteggio: deviates from Carrobbio in Coni Zugna #tram14 > main cemetery: deviates from Coni Zugna at Goldsmiths (collision between individuals). #ATM
12:12 AM - 21 Dec 2013,1387613522,#tram2 > Negrelli: deviates from Carrobbio in Colombo/Coni Zugna #tram2 > Bausan: deviates from Colombo/Coni Zugna to Cordusio (collision between individuals). #ATM
11:56 PM - 20 Dec 2013,1387612608,#bus95: slowdowns (public transportation Rogoredo). #ATM #Milano
10:55 PM - 20 Dec 2013,1387608948,#tram12 #tram15 #tram16 #tram24 #tram27: slowdowns (technical problem). #ATM #Milano
10:41 PM - 20 Dec 2013,1387608070,#bus51 #bus52 #bus83: slowdowns (irregular parked cars). #ATM #Milano
10:26 PM - 20 Dec 2013,1387607167,#tram23 > piazza Bottini #tram33 > Rimembranze di Lambrate: ending in p. Ascoli (collision between individuals). Bus from p. Ascoli to Loot/Lambrate.
9:59 PM - 20 Dec 2013,1387605589,Good Saturday from #ATM. Even today tweeting updates on #Milano circulation up at 20.
11:04 AM - 20 Dec 2013,1387566257,Hello @paganin94 you can find departure times and calculate your route to your destination to the page http://bit.ly/HtLVGu.
10:08 AM - 20 Dec 2013,1387562903,Bus and trolleybus: slowdowns for 90 91 92 93 94 95/37 42 43 50 54 57 61 62 70 81 82 busy traffic on the lines. #ATM
10:07 AM - 20 Dec 2013,1387562859,Tram: slowdowns for busy traffic on the lines 1 2 3 5 12 14 15 16 24 27 33. #ATM #Milano
9:58 AM - 20 Dec 2013,1387562304,#tram5 #tram33: resume regularly with possible delays (after detour for cars on the tracks). #ATM
8:58 AM - 20 Dec 2013,1387558735,#tram5 #tram33: deviate from viale Regina Giovanna via Lazaretto (drive on the tracks). #ATM #Milano
7:24 AM - 20 Dec 2013,1387553070,#tram1 #tram15 #bus37 #bus42 #bus43 #bus50 #bus57 #bus62 #bus70 #bus81 #bus82 #bus90 #bus93 #bus94 #bus95: delays (traffic). #ATM
7:02 AM - 20 Dec 2013,1387551759,#bus43: delays (traffic). #ATM #Milano
6:37 AM - 20 Dec 2013,1387550243,#Inter-#Milan: here is the #ATM service on the occasion of derby on Sunday night at San Siro http://bit.ly/JJT5ac. #SerieA #Milano
6:13 AM - 20 Dec 2013,1387548839,#bus63 #busNM1: from 16 till tomorrow (18) do not stop in via degli Ulivi http://bit.ly/19XzauJ. #ATM #Milano
5:59 AM - 20 Dec 2013,1387547944,#tram24 #bus57 #bus62 #bus77 #bus93: delays (traffic in different areas of the city). #ATM #Milano
5:51 AM - 20 Dec 2013,1387547493,#bus54 #bus61 #bus92: resume regular route after diversion. #ATM #Milano
5:30 AM - 20 Dec 2013,1387546242,#bus54 > Lambrate #bus61 > Mamtani: deviate from largo Augusto in piazza Tricolore (collision between private vehicles). #ATM #Milano
5:28 AM - 20 Dec 2013,1387546129,#bus87: resumes the regular route in both directions with no hiccups. #ATM #Milano
5:26 AM - 20 Dec 2013,1387545989,#bus92: deflects onto viale Umbria/Tertullian and resumes regular in piazza Caiazzo (technical problem). #ATM #Milano
5:22 AM - 20 Dec 2013,1387545764,#bus87 >: resumes regular route after turning for a collision between private individuals. #ATM #Milano
5:03 AM - 20 Dec 2013,1387544624,#tram2: resumes the regular route with no hiccups after diversion. #ATM #Milano
4:49 AM - 20 Dec 2013,1387543783,#bus87: deviates from via De Marchi to Aulla/Brianza (collision between private vehicles). #ATM #Milano
4:46 AM - 20 Dec 2013,1387543572,#tram2: ends at piazza di Porta Genova (private bus breakdowns). Bus services between Porta Genova and the terminus Negrelli. #ATM #Milano
4:44 AM - 20 Dec 2013,1387543476,@CapiFrancesco Hi Please know that are reported delays to traffic on the line.
4:39 AM - 20 Dec 2013,1387543142,#tram3: deviates from piazza XXIV Maggio piazza Abbiategrasso (aid to a passenger). #ATM #Milano
4:04 AM - 20 Dec 2013,1387541065,#tram4: slowdowns (technical problem). #ATM #Milano
4:00 AM - 20 Dec 2013,1387540817,#tram2 #tram12 #tram14 #tram16 #tram27: slowdowns (technical problem). #ATM #Milano
3:53 AM - 20 Dec 2013,1387540395,From 21/12 to 6/1: here's the #ATM service planned for the holiday season http://bit.ly/1cFbdJs. #Milano
3:33 AM - 20 Dec 2013,1387539195,#tram2 > Negrelli: ends in piazzale porta Genova (private bus breakdowns). Connecting bus between Porta Genova and Nabeel. #ATM #Milano
2:46 AM - 20 Dec 2013,1387536385,#tram12 #tram27: resume regular route with no hiccups after deviation (technical problem solved). #ATM #Milano
2:05 AM - 20 Dec 2013,1387533945,#bus728: resumes the regular route with no hiccups after turning for a collision between private vehicles. #ATM #Milano
1:39 AM - 20 Dec 2013,1387532398,#tram12 #tram27: deviate from piazza V Giornate in via Broletto/Grossi (technical problem). Alternatively #bus54 #bus60 #bus73. #ATM
1:36 AM - 20 Dec 2013,1387532185,@sebacottini the line is affected by delays to a technical glitch in a car.
1:35 AM - 20 Dec 2013,1387532125,#tram12 #tram15 #tram23 #tram27: slowdowns (technical problem). #ATM #Milano
1:09 AM - 20 Dec 2013,1387530588,@DiDioLaura in traffic Info you will find the info about the changes planned for the ATM lines: http://bit.ly/infotraffico. Continue to follow us.
12:32 AM - 20 Dec 2013,1387528362,#bus728 > Cusano Milanino: deviates from viale Sarca/asked Avenue lyrics/Clerici (collision between private vehicles). #ATM #Milano
12:02 AM - 20 Dec 2013,1387526523,#bus50 #bus94: delays (traffic). #ATM #Milano
11:52 PM - 19 Dec 2013,1387525974,@chiarazini Hi lost items are delivered to the Office that saves you and that you can contact: http://bit.ly/14oirkA.
11:41 PM - 19 Dec 2013,1387525280,#bus95 #bus121 #bus702 #bus727 #bus728 #bus729 #bus924 #bus925: delays (traffic). #ATM #Milano
11:40 PM - 19 Dec 2013,1387525232,#bus43 #bus58 #bus61 #bus67 #bus68 #bus69 #bus81 #bus86 #bus87 #bus91: delays (traffic). #ATM #Milano
11:38 PM - 19 Dec 2013,1387525136,@spirandex are possible delays for traffic in that area. The movement on the rest of the line is normal.
11:24 PM - 19 Dec 2013,1387524247,#tram15: slowdowns (aid per person caught ill). #ATM #Milano
11:21 PM - 19 Dec 2013,1387524113,@robylum Hi the circulation on the line is normal. Have a nice day.
10:59 PM - 19 Dec 2013,1387522789,@maurosays has encountered a technical problem at a car. On the line are not reported significant slowdowns.
10:48 PM - 19 Dec 2013,1387522114,@FoolWhiteRabbit there are no significant slowdowns. Only one car was traveling on out of service for a technical glitch.
10:00 PM - 19 Dec 2013,1387519239,#tram1: traffic delays. #ATM #Milano
9:59 PM - 19 Dec 2013,1387519189,Happy Friday from #ATM. Tweeting real time information today to keep you updated on the status of the movement at #Milano.
10:39 AM - 19 Dec 2013,1387478383,@jacoposki surface lines suffer from heavy traffic in different areas of the city and suffer delays.
7:30 AM - 19 Dec 2013,1387467038,#tram9: changing the path from 21.30 to end service (roadworks piazza V Giornate) http://bit.ly/19c0gE3. #ATM #Milano
7:04 AM - 19 Dec 2013,1387465480,@paganin94 Hi Saturday, metro lines will circulate regularly. Follow us for updates on the Christmas service of ATM.
6:44 AM - 19 Dec 2013,1387464278,From 27/12: #tram2 #tram4 #tram7 change the route for 15 days (M5 in via Farini/Ferrari) http://bit.ly/1kXWI85. #ATM
6:13 AM - 19 Dec 2013,1387462432,#M2: resumes normal circulation in both directions after delays. #ATM #Milano
5:35 AM - 19 Dec 2013,1387460122,#bus43 #bus50 #bus54 #bus57 #bus61 #bus68 #bus92 #bus94 #bus95: delays (traffic in different areas of the city). #ATM #Milano
5:34 AM - 19 Dec 2013,1387460047,#tram1 #tram5 #tram12 #tram16 #tram27: delays (traffic in different areas of the city). #ATM #Milano
5:09 AM - 19 Dec 2013,1387458548,@Bonfanti_Fe when on the line there are delays as a result of an intervention in Lambrate station enforcement.
4:52 AM - 19 Dec 2013,1387457569,#tram27: slowdowns (heavy traffic in the city centre). #ATM #Milano
4:49 AM - 19 Dec 2013,1387457362,#tram1: resumes the regular route with no hiccups after diversion. #ATM #Milano
4:46 AM - 19 Dec 2013,1387457192,@catiacavedonik Yes I can confirm that on the line are reported still slowing down for the intervention of law enforcement at Lambrate.
4:42 AM - 19 Dec 2013,1387456974,@dariodellanoce @ComuneMI Hi the line has slowed as a result of an enforcement action at Lambrate. Follow us for more info.
4:42 AM - 19 Dec 2013,1387456961,#tram1: does the path between piazza della Repubblica and piazza Cordusio. Bus services in the journey not flown. #ATM #Milano
4:13 AM - 19 Dec 2013,1387455220,#bus60 #bus73 #busX73: resume regular route with no hiccups after deviation (uneven parked cars removed). #ATM #Milano
4:08 AM - 19 Dec 2013,1387454928,#tram5: deviates from via Lazzaretto/Tunisia in piazza Ascoli (irregular parked cars). Bus services between piazza della Repubblica and nettle.
4:00 AM - 19 Dec 2013,1387454451,#bus54: delays (traffic). #ATM #Milano
3:58 AM - 19 Dec 2013,1387454297,@AriSnape law enforcement intervened in Lambrate station for a passenger which hindered normal service on the line.
3:24 AM - 19 Dec 2013,1387452296,@pikkolina94 there is no unrest in the coming days. On the occasion of a strike tweeting information continues to follow.
3:18 AM - 19 Dec 2013,1387451895,@pikkolina94 Yes #ATM media will be in service on 28 December. Follow us soon we will publish timetables of lines.
3:06 AM - 19 Dec 2013,1387451188,@andre_prince @Dulafive there are delays. The police intervened at Lambrate per passenger which hindered the service
3:00 AM - 19 Dec 2013,1387450850,#bus60 #bus73 #busX73: ending in largo Augusto (irregular parked cars). #ATM #Milano
2:57 AM - 19 Dec 2013,1387450651,@max210203 currently trains circulate with delays following the intervention of law enforcement in Lambrate station.
2:54 AM - 19 Dec 2013,1387450478,#M2: slowdowns (law enforcement intervention in Lambrate station). #ATM #Milano
2:48 AM - 19 Dec 2013,1387450139,#tram9: resumes the regular route with no hiccups after diversion. #ATM #Milano
2:47 AM - 19 Dec 2013,1387450057,@CateMartini slowed movement for the intervention of law enforcement in Lambrate station.
2:42 AM - 19 Dec 2013,1387449768,#M2: traffic delays along the line. #ATM #Milano
2:32 AM - 19 Dec 2013,1387449147,#tram9 > Centrale: deviates from Porta Lodovica piazza V Giornate (aid to a passenger). Connecting bus into the journey not flown.
1:51 AM - 19 Dec 2013,1387446703,#tram1 #tram19: resume regular route with no hiccups after turning for a collision between private vehicles. #ATM #Milano
1:18 AM - 19 Dec 2013,1387444703,#tram1: deviates from Simplon/Procaccini via Cusani (collision between private vehicles). Bus linking Sempione/Procaccini and largo Cairoli.
12:39 AM - 19 Dec 2013,1387442389,@phate191 sorry the train a few minutes late there are additional delays on the line.
12:01 AM - 19 Dec 2013,1387440085,#tram12 #tram27: slowdowns (technical problem now solved). #ATM #Milano
11:43 PM - 18 Dec 2013,1387439001,#M2 has resumed service on entire line with delays between Cascina Gobba and Gessate. #ATM #Milan
11:41 PM - 18 Dec 2013,1387438898,#M2: the circulation resumes across the Board with no hiccups in the Cascina Gobba/Gessate after suspension. #ATM #Milano
11:39 PM - 18 Dec 2013,1387438768,@WilliamPeig Yes the circulation has just recovered.
11:38 PM - 18 Dec 2013,1387438727,@nobilem you update: circulation has just resumed in all directions.
11:37 PM - 18 Dec 2013,1387438654,#M2 Vimodrone-Cernusco s. n.: trains will be back to normal in a few minutes. #ATM #Milan
11:36 PM - 18 Dec 2013,1387438605,#M2: you are about to resume movement between Vimodrone and Cernusco S.N. after suspension for succor in a cultured person ill. #ATM
11:27 PM - 18 Dec 2013,1387438040,#M2: no service between Ventura and Cernusco S.N. Replacement buses operating. Updates to come. #ATM #Milan
11:25 PM - 18 Dec 2013,1387437908,#M2: movement suspended between Vimodrone and Cernusco S. N (cultured person ill). Follow updates. #ATM #Milano
10:00 PM - 18 Dec 2013,1387432847,Good morning from #ATM informs. Up to 20 follow us to receive information about the movement of surface and underground lines.
10:58 AM - 18 Dec 2013,1387393138,Good evening from @atm_informa. Information on mobility in #Milano return tomorrow from 7 to update you in real time up to 20.
10:23 AM - 18 Dec 2013,1387391026,#bus37 #bus42 #bus61 #bus62 #bus90 #bus91 #bus92 #bus93 #bus924: delays (busy traffic in different areas of the city). #ATM #Milano
7:43 AM - 18 Dec 2013,1387381399,@TwitWithCris Hi you can contact the Office who collects items lost on #ATM. For more info: http://bit.ly/14oirkA.
7:22 AM - 18 Dec 2013,1387380144,19/12: #tram9 change the path from 21.30 about to end service (roadworks piazza V Giornate) http://bit.ly/19c0gE3. #ATM
6:47 AM - 18 Dec 2013,1387378037,@PartitionPls follow us we will updates soon about opening new stations. You can find more info here: http://bit.ly/JHAxIb.
6:41 AM - 18 Dec 2013,1387377666,#bus61: resumes the regular route with no hiccups after diversion. #ATM #Milano
6:29 AM - 18 Dec 2013,1387376960,#bus61 > Brasilia: deviates from via Fatebenefratelli in largo Greppi Lanza (emergency intervention at two passengers). #ATM #Milano
6:20 AM - 18 Dec 2013,1387376428,#tram5: ends in piazza Ascoli (drive on the tracks). Connecting bus to the terminus nettle. #ATM #Milano
5:31 AM - 18 Dec 2013,1387373470,#tram9: resumes normal path with no hiccups after deviation (uneven parked cars removed). #ATM #Milano
4:50 AM - 18 Dec 2013,1387371017,#tram5: resumes the regular route in both directions with no hiccups after turning for parked cars on the tracks. #ATM #Milano
4:43 AM - 18 Dec 2013,1387370582,#tram5 > nettle: ends in Lunigiana > Ospedale Maggiore: ends in Lastovo (cars on the tracks). Bus services: Zara/brands-Lunigiana.
4:39 AM - 18 Dec 2013,1387370352,#tram9: ends in Porta Lodovica (irregular parked cars). Connecting bus between Porta Lodovica and Porta Genova. #ATM #Milano
4:36 AM - 18 Dec 2013,1387370172,@frances85350358 #tram1 stop is in front of the Cadorna Station calculates the detailed route with http://bit.ly/GiroMilano.
4:15 AM - 18 Dec 2013,1387368900,#tram7: ends in Piazzale Lagosta (irregular parked cars). Connecting bus to the last stop on via Messina. #ATM #Milano
3:26 AM - 18 Dec 2013,1387365986,@simo_gio Yes when they return to availability you may log back onto the parking lot. Thanks and have a nice day.
3:04 AM - 18 Dec 2013,1387364673,#bus94: slowdowns (public transportation via Senato/Sforza). #ATM #Milano
2:05 AM - 18 Dec 2013,1387361152,#bus924: change the path for a month or so (road works via Borsellino in Vimodrone) http://bit.ly/1jhdIKY. #ATM
2:02 AM - 18 Dec 2013,1387360975,@Cristiana_Bucci Thanks for pointing that out. Warnings about editing active path will be updated: http://bit.ly/1jhdIKY.
1:35 AM - 18 Dec 2013,1387359343,#tram9 #tram33: suffer delays and detours (manifestation in via Filzi). #ATM #Milano
1:20 AM - 18 Dec 2013,1387358456,#bus431 #bus433: change the path in Cornaredo until 16/2 (road works via Garibaldi) http://bit.ly/1enM0dm. #ATM
12:46 AM - 18 Dec 2013,1387356390,#bus95: delays (traffic). #ATM #Milano
11:46 PM - 17 Dec 2013,1387352765,#tram9: slowdowns (technical problem). #ATM #Milano
11:25 PM - 17 Dec 2013,1387351513,#tram33: slowdowns (technical glitch in a car). #ATM #Milano
11:09 PM - 17 Dec 2013,1387350595,#tram12 #tram14: slowdowns (heavy traffic). #ATM #Milano
10:00 PM - 17 Dec 2013,1387346445,Good morning. Follow us till 20 tweeting real time information on traffic #ATM.
10:44 AM - 17 Dec 2013,1387305858,#bus43: slowdowns (collision between private vehicles). #ATM #Milano
8:27 AM - 17 Dec 2013,1387297639,#tram16: delays (busy traffic in corso Vercelli). #ATM #Milano
8:13 AM - 17 Dec 2013,1387296839,#tram9 #tram33: change the path this night from 1 until the end of service (work in via Filzi) http://bit.ly/1bMccqf. #ATM
8:04 AM - 17 Dec 2013,1387296250,#tram14 #bus52 #bus56 #bus94: (slow downs for heavy traffic in different areas of the city). #bus68: slowdowns (collision between individuals).
7:53 AM - 17 Dec 2013,1387295582,@theriktweet Hi #bus86 edit the path and does not stop on via Tremelloni. More info here: http://bit.ly/ISmXB4.
7:28 AM - 17 Dec 2013,1387294136,#bus90: slowdowns (technical problem). #ATM #Milano
7:11 AM - 17 Dec 2013,1387293083,#tram12 #tram24 #tram27 #bus50 #bus58 #bus60 #bus61 #bus95: delays (busy traffic in different areas of the city). #ATM #Milano
2:43 AM - 17 Dec 2013,1387277025,@DenyButterfly82 will give you updates follow us to stay informed about the services provided by #ATM in the next few days. Have a nice day.
2:36 AM - 17 Dec 2013,1387276564,@gi0mil thanks for writing we collect all the suggestions to the form to fill out at this link: http://bit.ly/WWEdnV.
2:33 AM - 17 Dec 2013,1387276414,@finngiaz Hi we are publishing all about planned changes to the Info page site traffic: http://bit.ly/infotraffico. Follow us.
2:26 AM - 17 Dec 2013,1387275971,#bus60: delays (traffic to market via Eustachi). #ATM #Milano
2:12 AM - 17 Dec 2013,1387275140,#tram23 > Lambrate #tram33 > Remembrances: resume regular route with no hiccups after turning for parked cars without authorisation.
2:06 AM - 17 Dec 2013,1387274788,#tram23 > Lambrate #tram33 > Rimembranze di Lambrate: ending in pza Ascoli (irregular parked cars). Between Ascoli and bus terminus. #ATM
2:00 AM - 17 Dec 2013,1387274409,#bus84: delays (traffic in largo Augusto). #bus61: delays (traffic). #ATM #Milano
1:50 AM - 17 Dec 2013,1387273828,#bus923 #bus924: slowdowns (road construction Road Cassanese). #ATM #Milano
1:03 AM - 17 Dec 2013,1387270996,#M2: resumes normal circulation in all directions. #ATM #Milano
1:01 AM - 17 Dec 2013,1387270909,#tram2: resumes the regular route with no hiccups after deviation (uneven parked cars removed). #ATM #Milano
12:54 AM - 17 Dec 2013,1387270484,#tram2: ends the rides to Porta Genova (irregular parked cars). Bus services to and from the terminus Negrelli. #ATM #Milano
12:16 AM - 17 Dec 2013,1387268188,#M2 > Abbiategrasso/Assago Forum: slowdowns between Gobba-Abbiategrasso/Assago Forum (technical problem). #ATM #Milano
12:12 AM - 17 Dec 2013,1387267932,#bus60 > #bus73 and Central #busx73 > Linate Airport: slowdowns (commemorative event in corso Europa). #ATM #Milano
10:00 PM - 16 Dec 2013,1387260043,Good morning from #ATM informs. Follow us till 20 to receive real-time information on traffic.
11:01 AM - 16 Dec 2013,1387220504,Goodbye from #ATM. Give you an appointment tomorrow morning at 7 with the Tweets on mobility in #Milano.
10:58 AM - 16 Dec 2013,1387220330,#tram5: resumes the regular route with no hiccups after turning for parked cars without authorisation. #ATM #Milano
10:17 AM - 16 Dec 2013,1387217841,#tram5 > nettle: deviates from via Filzi in viale Tunisia (irregular parked cars). #ATM #Milano
9:15 AM - 16 Dec 2013,1387214110,@RadicalMeno1 trains on line travel normally. Have a good evening.
8:00 AM - 16 Dec 2013,1387209624,#Milan-#Roma: here is the #ATM service planned for tonight's game at San Siro http://bit.ly/18JMjHF. #SerieA #Milano
7:25 AM - 16 Dec 2013,1387207546,@iNaz26 for light rail there is a round trip ticket from 1.30 €: http://bit.ly/1jbrleL. You can also use #bus925 from Cascina Gobba.
